ダウンロードした時刻：2026/02/28 23:58:28

,白石,白石,白石,白石,白石,白石,白石,白石,白石
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1990/7/3,21.2,8,1,25.6,8,1,17.8,8,1
1990/7/4,20.4,8,1,22.8,8,1,18.4,8,1
1990/7/5,22.3,8,1,26.5,8,1,17.1,8,1
1990/7/6,21.4,8,1,26.1,8,1,15.9,8,1
1990/7/7,19.2,8,1,22.2,8,1,17.1,8,1
1990/7/8,19.4,8,1,22.6,8,1,16.2,8,1
1990/7/9,16.7,8,1,17.9,8,1,15.6,8,1
1990/7/10,17.0,8,1,18.1,8,1,15.5,8,1
1990/7/11,18.4,8,1,20.2,8,1,17.0,8,1
1990/7/12,15.8,8,1,16.8,8,1,15.2,8,1
1990/7/13,17.1,8,1,18.0,8,1,15.6,8,1
1990/7/14,21.8,8,1,28.8,8,1,16.0,8,1
1990/7/15,21.9,8,1,26.8,8,1,19.5,8,1
1990/7/16,25.5,8,1,29.9,8,1,21.9,8,1
1990/7/17,26.4,8,1,30.8,8,1,21.6,8,1
1990/7/18,27.5,8,1,33.1,8,1,22.9,8,1
1990/7/19,27.3,8,1,31.6,8,1,22.5,8,1
1990/7/20,22.2,8,1,27.6,8,1,19.7,8,1
1990/7/21,21.7,8,1,25.8,8,1,19.3,8,1
1990/7/22,26.9,8,1,33.2,8,1,19.5,8,1
1990/7/23,26.2,8,1,29.3,8,1,22.1,8,1
1990/7/24,24.8,8,1,32.4,8,1,20.7,8,1
1990/7/25,24.3,8,1,30.3,8,1,19.6,8,1
1990/7/26,24.9,8,1,30.5,8,1,19.3,8,1
1990/7/27,21.2,8,1,24.5,8,1,18.0,8,1
1990/7/28,19.9,8,1,22.2,8,1,18.6,8,1
1990/7/29,22.0,8,1,25.9,8,1,19.0,8,1
1990/7/30,23.1,8,1,26.9,8,1,20.4,8,1
1990/7/31,23.1,8,1,25.9,8,1,20.9,8,1
1990/8/1,24.2,8,1,30.0,8,1,20.9,8,1
1990/8/2,24.2,8,1,30.4,8,1,18.5,8,1
1990/8/3,24.2,8,1,27.9,8,1,20.4,8,1
1990/8/4,23.9,8,1,27.3,8,1,20.1,8,1
1990/8/5,25.5,8,1,29.5,8,1,22.1,8,1
1990/8/6,25.9,8,1,30.4,8,1,23.0,8,1
1990/8/7,26.1,8,1,32.7,8,1,22.1,8,1
1990/8/8,25.7,8,1,32.3,8,1,20.1,8,1
1990/8/9,22.7,8,1,23.4,8,1,22.2,8,1
1990/8/10,24.8,8,1,27.5,8,1,22.4,8,1
1990/8/11,29.2,8,1,33.1,8,1,24.8,8,1
1990/8/12,26.8,8,1,32.3,8,1,20.9,8,1
1990/8/13,24.6,8,1,29.9,8,1,19.4,8,1
1990/8/14,25.9,8,1,30.8,8,1,23.3,8,1
1990/8/15,28.2,8,1,34.1,8,1,23.0,8,1
1990/8/16,27.0,8,1,32.1,8,1,24.1,8,1
1990/8/17,22.6,8,1,24.2,8,1,20.8,8,1
1990/8/18,22.6,8,1,27.0,8,1,18.9,8,1
1990/8/19,22.4,8,1,27.5,8,1,18.2,8,1
1990/8/20,26.4,8,1,33.1,8,1,20.2,8,1
1990/8/21,26.6,8,1,31.9,8,1,22.0,8,1
1990/8/22,29.0,8,1,32.7,8,1,24.2,8,1
1990/8/23,29.9,8,1,34.3,8,1,26.1,8,1
1990/8/24,27.6,8,1,31.3,8,1,24.7,8,1
1990/8/25,24.5,8,1,28.2,8,1,20.8,8,1
1990/8/26,23.3,8,1,29.2,8,1,18.9,8,1
1990/8/27,22.2,8,1,27.4,8,1,17.3,8,1
1990/8/28,21.0,8,1,25.9,8,1,15.7,8,1
1990/8/29,21.6,8,1,23.3,8,1,19.8,8,1
1990/8/30,25.1,8,1,31.3,8,1,21.1,8,1
1990/8/31,26.1,8,1,31.3,8,1,21.5,8,1
1990/9/1,26.4,8,1,32.3,8,1,22.1,8,1
1990/9/2,25.2,8,1,31.7,8,1,19.9,8,1
1990/9/3,26.5,8,1,31.6,8,1,22.2,8,1
1990/9/4,25.6,8,1,30.6,8,1,21.0,8,1
1990/9/5,20.3,8,1,21.1,8,1,19.5,8,1
1990/9/6,21.6,8,1,26.0,8,1,18.7,8,1
1990/9/7,17.6,8,1,19.2,8,1,15.7,8,1
1990/9/8,19.6,8,1,24.5,8,1,16.1,8,1
1990/9/9,20.1,8,1,25.8,8,1,17.6,8,1
1990/9/10,21.0,8,1,27.2,8,1,14.9,8,1
1990/9/11,21.9,8,1,27.5,8,1,17.0,8,1
1990/9/12,26.0,8,1,32.0,8,1,20.8,8,1
1990/9/13,21.9,8,1,24.4,8,1,19.6,8,1
1990/9/14,20.1,8,1,21.0,8,1,19.1,8,1
1990/9/15,22.2,8,1,24.6,8,1,19.9,8,1
1990/9/16,21.5,8,1,25.9,8,1,17.7,8,1
1990/9/17,21.3,8,1,24.4,8,1,19.7,8,1
1990/9/18,26.0,8,1,30.2,8,1,23.2,8,1
1990/9/19,22.7,8,1,26.7,8,1,20.4,8,1
1990/9/20,20.9,8,1,24.0,8,1,16.1,8,1
1990/9/21,17.3,8,1,22.4,8,1,12.6,8,1
